rootsample,length,Genotype,Treatment
213,4.58,Col-0,Mock
214,4.14,Col-0,Mock
215,1.64,Col-0,Mock
216,4.79,Col-0,Mock
217,2.6,Col-0,Mock
218,3.12,Col-0,Mock
219,4.21,Col-0,Mock
220,2.57,Col-0,Mock
221,2.97,Col-0,Mock
222,3.4,Col-0,Mock
223,4.06,Col-0,Mock
224,2.33,Col-0,Mock
225,4.49,Col-0,Mock
226,3.15,Col-0,Mock
227,5.41,Col-0,Mock
228,2.2,Col-0,Mock
229,4.16,Col-0,Mock
230,3.14,Col-0,Mock
231,2.59,Col-0,Mock
232,4.6,Col-0,Mock
233,4.24,Col-0,Mock
234,5.13,Col-0,Mock
235,4.25,Col-0,Mock
236,4.42,Col-0,Mock
237,3.61,Col-0,Mock
238,4.41,Col-0,Mock
239,3.08,Col-0,Mock
240,4.33,Col-0,Mock
241,4.75,Col-0,Mock
242,3.36,Col-0,Mock
243,3.36,Col-0,Mock
244,2.74,Col-0,Mock
245,3.23,Col-0,Mock
246,2.8,Col-0,Mock
247,4.65,Col-0,Mock
248,4.58,Col-0,Mock
249,3.57,Col-0,Mock
250,2.84,Col-0,Mock
251,3.58,Col-0,Mock
252,3.72,Col-0,Mock
253,3.75,Col-0,Mock
254,3.51,Col-0,Mock
255,4.23,Col-0,Mock
256,2.79,Col-0,Mock
257,3.16,Col-0,Mock
258,5.24,Col-0,Mock
259,4.65,Col-0,Mock
260,4.54,Col-0,Mock
261,5.6,Col-0,Mock
262,3.71,Col-0,Mock
263,4.43,Col-0,Mock
264,3.31,Col-0,Mock
265,4.96,Col-0,Mock
266,3.72,Col-0,Mock
267,2.77,Col-0,Mock
268,2.84,Col-0,Mock
269,3.81,Col-0,Mock
270,4.67,Col-0,Mock
271,3.75,Col-0,Mock
272,4.11,Col-0,Mock
273,2.05,Col-0,Mock
274,4.26,Col-0,Mock
275,3.67,Col-0,Mock
276,4.75,Col-0,Mock
277,4.18,Col-0,Mock
278,3.89,Col-0,Mock
279,5.05,Col-0,Mock
280,5.28,Col-0,Mock
281,3.33,Col-0,Mock
282,3.6,Col-0,Mock
283,2.77,Col-0,Mock
284,4.48,Col-0,Mock
285,4.28,Col-0,Mock
286,3.46,Col-0,Mock
287,3.77,Col-0,Mock
288,4.46,Col-0,Mock
289,5.05,Col-0,Mock
290,4.7,Col-0,Mock
291,4.83,Col-0,Mock
292,3.47,Col-0,Mock
293,5.58,Col-0,Mock
294,3.7,Col-0,Mock
295,4.6,Col-0,Mock
296,4.66,Col-0,Mock
297,2.26,Col-0,Mock
298,5.13,Col-0,Mock
299,5.22,Col-0,Mock
300,3.45,Col-0,Mock
301,3.89,Col-0,Mock
302,2.69,Col-0,Mock
303,3.94,Col-0,Mock
304,3.91,Col-0,Mock
305,3.85,Col-0,Mock
306,2.18,Col-0,Mock
307,2.85,Col-0,Mock
308,4.57,Col-0,Mock
309,4.09,Col-0,Mock
310,4.71,Col-0,Mock
311,2.49,Col-0,Mock
312,3.35,Col-0,Mock
313,4.3,Col-0,Mock
314,4.92,Col-0,Mock
315,5.09,Col-0,Mock
316,4.06,Col-0,Mock
317,4,Col-0,Mock
318,5.28,Col-0,Mock
319,2.63,Col-0,Mock
320,4.1,Col-0,Mock
321,3.5,Col-0,Mock
322,5.69,Col-0,Mock
323,3.96,Col-0,Mock
324,5.35,Col-0,Mock
325,1.92,Col-0,Mock
326,2.73,Col-0,Mock
327,5.31,Col-0,Mock
328,3.22,Col-0,Mock
329,5.81,Col-0,Mock
330,4.42,Col-0,Mock
331,6.08,Col-0,Mock
332,4.28,Col-0,Mock
333,3.5,Col-0,Mock
334,3.62,Col-0,Mock
335,1.71,Col-0,Mock
336,2.7,Col-0,Mock
337,5.57,Col-0,Mock
338,3.64,Col-0,Mock
339,4.13,Col-0,Mock
340,4.45,Col-0,Mock
341,4.91,Col-0,Mock
342,4.99,Col-0,Mock
343,3.33,Col-0,Mock
344,4.11,Col-0,Mock
345,4.54,Col-0,Mock
346,4.73,Col-0,Mock
347,4.99,Col-0,Mock
348,4.87,Col-0,Mock
349,5.22,Col-0,Mock
350,3.38,Col-0,Mock
351,5,Col-0,Mock
352,4.45,Col-0,Mock
353,4.58,Col-0,Mock
354,2.68,Col-0,Mock
355,1.48,Col-0,Mock
356,3.64,Col-0,Mock
357,1.87,Col-0,Mock
358,2.85,Col-0,Mock
359,4.22,Col-0,Mock
360,3.49,Col-0,Mock
361,3.77,Col-0,Mock
362,4.77,Col-0,Mock
363,5.94,Col-0,Mock
364,2.4,Col-0,Mock
365,4.09,Col-0,Mock
366,2.24,Col-0,Mock
367,2.79,Col-0,Mock
368,2.97,Col-0,Mock
369,4.82,Col-0,Mock
370,2.64,Col-0,Mock
371,4.68,Col-0,Mock
372,4.74,Col-0,Mock
373,3.91,Col-0,Mock
374,5.37,Col-0,Mock
375,4.29,Col-0,Mock
376,4.45,Col-0,Mock
377,4.69,Col-0,Mock
378,3.25,Col-0,Mock
379,1.9,Col-0,Mock
380,4.02,Col-0,Mock
381,5.68,Col-0,Mock
382,3.47,Col-0,Mock
383,2.95,Col-0,Mock
384,4.96,Col-0,Mock
385,2.09,Col-0,Mock
386,4.49,Col-0,Mock
387,3.14,Col-0,Mock
388,2.89,Col-0,Mock
389,5.06,Col-0,Mock
390,3.47,Col-0,Mock
391,4.42,Col-0,Mock
392,3.81,Col-0,Mock
393,4.47,Col-0,Mock
394,4.12,Col-0,Mock
395,3.76,Col-0,Mock
396,2.64,Col-0,Mock
397,5.7,Col-0,Mock
398,4.65,Col-0,Mock
399,4.16,Col-0,Mock
400,2.94,Col-0,Mock
401,3.82,Col-0,Mock
402,4.46,Col-0,Mock
403,3.01,Col-0,Mock
404,2.82,Col-0,Mock
405,5.34,Col-0,Mock
406,4.7,Col-0,Mock
407,2.63,Col-0,Mock
408,4.39,Col-0,Mock
409,3.89,Col-0,Mock
410,4.87,Col-0,Mock
411,5.12,Col-0,Mock
412,3.22,Col-0,Mock
413,4.92,Col-0,Mock
414,4.82,Col-0,Mock
415,5.51,Col-0,Mock
416,5.01,Col-0,Mock
417,5.11,Col-0,Mock
418,5.46,Col-0,Mock
419,5.43,Col-0,Mock
420,3.8,Col-0,Mock
421,4.71,Col-0,Mock
422,4.48,Col-0,Mock
423,1.51,Col-0,Mock
424,3.04,Col-0,Mock
425,5.27,Col-0,Mock
426,6,Col-0,Mock
427,5.95,Col-0,Mock
428,4.01,Col-0,Mock
429,3.14,Col-0,Mock
430,5.4,Col-0,Mock
431,3.97,Col-0,Mock
432,4.64,Col-0,Mock
433,5.15,Col-0,Mock
434,5.6,Col-0,Mock
435,5.63,Col-0,Mock
436,4.15,Col-0,Mock
437,4.76,Col-0,Mock
438,3.2,Col-0,Mock
439,4.19,Col-0,Mock
440,4.9,Col-0,Mock
441,4.17,Col-0,Mock
442,4.63,Col-0,Mock
443,2.44,Col-0,Mock
444,5.33,Col-0,Mock
445,3.66,Col-0,Mock
446,1.89,Col-0,Mock
447,4.95,Col-0,Mock
448,4.63,Col-0,Mock
449,3.67,Col-0,Mock
450,6.25,Col-0,Mock
451,4.54,Col-0,Mock
452,4.25,Col-0,Mock
453,4.1,Col-0,Mock
454,3.17,Col-0,Mock
455,5.25,Col-0,Mock
456,3.58,Col-0,Mock
457,3.71,Col-0,Mock
458,1.96,Col-0,Mock
459,5.26,Col-0,Mock
460,5.52,Col-0,Mock
461,4.07,Col-0,Mock
462,5.19,Col-0,Mock
463,3.31,Col-0,Mock
464,2.09,Col-0,Mock
465,4.86,Col-0,Mock
466,3.57,Col-0,Mock
467,3.95,Col-0,Mock
468,3.56,Col-0,Mock
469,3.56,Col-0,Mock
470,3.82,Col-0,Mock
471,5.68,Col-0,Mock
472,3.6,Col-0,Mock
