rootsample,Hair Root length,Genotype,Treatment
1665,0.96,dP,Mock
1666,1.07,dP,Mock
1667,1.17,dP,Mock
1668,1.14,dP,Mock
1669,0.83,dP,Mock
1670,0.99,dP,Mock
1671,0.84,dP,Mock
1672,1.11,dP,Mock
1673,1.12,dP,Mock
1674,0.86,dP,Mock
1675,0.72,dP,Mock
1676,1.03,dP,Mock
1677,1.09,dP,Mock
1678,1.02,dP,Mock
1679,0.67,dP,Mock
1680,0.99,dP,Mock
1681,1.31,dP,Mock
1682,1.05,dP,Mock
1683,0.89,dP,Mock
1684,1.45,dP,Mock
1685,0.91,dP,Mock
1686,0.6,dP,Mock
1687,1,dP,Mock
1688,1.23,dP,Mock
1689,1.28,dP,Mock
1690,0.67,dP,Mock
1691,0.97,dP,Mock
1692,1.18,dP,Mock
1693,1.09,dP,Mock
1694,1.13,dP,Mock
1695,0.66,dP,Mock
1696,0.94,dP,Mock
1697,0.92,dP,Mock
1698,0.6,dP,Mock
1699,1.1,dP,Mock
1700,0.91,dP,Mock
1701,1,dP,Mock
1702,1.36,dP,Mock
1703,0.92,dP,Mock
1704,0.89,dP,Mock
1705,1.18,dP,Mock
1706,0.72,dP,Mock
1707,0.96,dP,Mock
1708,1.24,dP,Mock
1709,0.88,dP,Mock
1710,1.02,dP,Mock
1711,0.77,dP,Mock
1712,0.83,dP,Mock
1713,1.05,dP,Mock
1714,0.83,dP,Mock
1715,1.15,dP,Mock
1716,0.96,dP,Mock
1717,1.19,dP,Mock
1718,1.15,dP,Mock
1719,0.78,dP,Mock
1720,0.93,dP,Mock
1721,0.74,dP,Mock
1722,1.08,dP,Mock
1723,1.32,dP,Mock
1724,0.77,dP,Mock
1725,1.22,dP,Mock
1726,1.11,dP,Mock
1727,1.38,dP,Mock
1728,0.66,dP,Mock
1729,0.83,dP,Mock
1730,0.93,dP,Mock
1731,0.9,dP,Mock
1732,1.02,dP,Mock
1733,1.14,dP,Mock
1734,0.9,dP,Mock
1735,0.65,dP,Mock
1736,0.95,dP,Mock
1737,0.91,dP,Mock
1738,0.7,dP,Mock
1739,1.16,dP,Mock
1740,1,dP,Mock
1741,0.77,dP,Mock
1742,1.23,dP,Mock
1743,0.85,dP,Mock
1744,0.95,dP,Mock
1745,0.55,dP,Mock
1746,0.58,dP,Mock
1747,1.2,dP,Mock
1748,1.22,dP,Mock
1749,0.78,dP,Mock
1750,1.09,dP,Mock
1751,1.04,dP,Mock
1752,1.1,dP,Mock
1753,0.61,dP,Mock
1754,1.07,dP,Mock
1755,0.86,dP,Mock
1756,1.11,dP,Mock
1757,0.76,dP,Mock
1758,0.88,dP,Mock
1759,1.04,dP,Mock
1760,0.95,dP,Mock
1761,0.87,dP,Mock
1762,0.99,dP,Mock
1763,0.87,dP,Mock
1764,0.83,dP,Mock
1765,1.13,dP,Mock
1766,0.92,dP,Mock
1767,0.98,dP,Mock
1768,1.23,dP,Mock
1769,1.22,dP,Mock
1770,0.82,dP,Mock
1771,1.22,dP,Mock
1772,0.77,dP,Mock
1773,1.41,dP,Mock
1774,0.77,dP,Mock
1775,0.93,dP,Mock
1776,0.86,dP,Mock
1777,1.2,dP,Mock
1778,0.68,dP,Mock
1779,0.85,dP,Mock
1780,1.01,dP,Mock
1781,1.04,dP,Mock
1782,0.72,dP,Mock
1783,0.98,dP,Mock
1784,0.84,dP,Mock
1785,1.01,dP,Mock
1786,0.84,dP,Mock
1787,1.39,dP,Mock
1788,0.95,dP,Mock
1789,0.67,dP,Mock
1790,0.86,dP,Mock
1791,0.77,dP,Mock
1792,0.78,dP,Mock
1793,0.67,dP,Mock
1794,1.34,dP,Mock
1795,0.72,dP,Mock
1796,1.08,dP,Mock
1797,1.09,dP,Mock
1798,1.16,dP,Mock
1799,0.61,dP,Mock
1800,0.93,dP,Mock
1801,1.02,dP,Mock
1802,1.08,dP,Mock
1803,0.9,dP,Mock
1804,1.31,dP,Mock
1805,1.15,dP,Mock
1806,1.01,dP,Mock
1807,0.89,dP,Mock
1808,0.9,dP,Mock
1809,0.54,dP,Mock
1810,1.15,dP,Mock
1811,1.05,dP,Mock
1812,1,dP,Mock
1813,1.1,dP,Mock
1814,1.2,dP,Mock
1815,1.1,dP,Mock
1816,0.76,dP,Mock
1817,0.56,dP,Mock
1818,0.92,dP,Mock
1819,0.94,dP,Mock
1820,1.28,dP,Mock
1821,1,dP,Mock
1822,0.82,dP,Mock
1823,1.36,dP,Mock
1824,0.7,dP,Mock
1825,0.86,dP,Mock
1826,1.16,dP,Mock
1827,0.78,dP,Mock
1828,0.87,dP,Mock
1829,1.01,dP,Mock
1830,0.94,dP,Mock
1831,0.52,dP,Mock
1832,0.85,dP,Mock
1833,0.99,dP,Mock
1834,0.63,dP,Mock
1835,1.01,dP,Mock
1836,1,dP,Mock
1837,0.61,dP,Mock
1838,0.66,dP,Mock
1839,1.14,dP,Mock
1840,1.03,dP,Mock
1841,0.77,dP,Mock
1842,1.11,dP,Mock
1843,1.09,dP,Mock
1844,1.27,dP,Mock
1845,0.99,dP,Mock
1846,1.2,dP,Mock
1847,0.75,dP,Mock
1848,0.47,dP,Mock
1849,0.95,dP,Mock
1850,0.98,dP,Mock
1851,1.13,dP,Mock
1852,0.74,dP,Mock
1853,1.06,dP,Mock
1854,0.98,dP,Mock
1855,1.05,dP,Mock
1856,0.87,dP,Mock
1857,0.78,dP,Mock
1858,0.71,dP,Mock
1859,1.05,dP,Mock
1860,1.13,dP,Mock
1861,1.35,dP,Mock
1862,0.94,dP,Mock
1863,0.96,dP,Mock
1864,0.97,dP,Mock
1865,1.1,dP,Mock
1866,1.31,dP,Mock
1867,0.82,dP,Mock
1868,1.14,dP,Mock
1869,1.22,dP,Mock
1870,0.92,dP,Mock
1871,1.15,dP,Mock
1872,1.31,dP,Mock
1873,0.86,dP,Mock
1874,1.02,dP,Mock
1875,0.48,dP,Mock
1876,1.16,dP,Mock
1877,0.86,dP,Mock
1878,1.13,dP,Mock
1879,0.83,dP,Mock
1880,1,dP,Mock
1881,1.2,dP,Mock
1882,0.73,dP,Mock
1883,1.21,dP,Mock
1884,1.03,dP,Mock
1885,0.5,dP,Mock
1886,0.92,dP,Mock
1887,1.11,dP,Mock
1888,1.2,dP,Mock
1889,1.22,dP,Mock
1890,0.82,dP,Mock
1891,1.01,dP,Mock
1892,0.85,dP,Mock
1893,1.3,dP,Mock
1894,1.12,dP,Mock
1895,1.08,dP,Mock
1896,1.03,dP,Mock
1897,0.78,dP,Mock
1898,0.93,dP,Mock
1899,0.9,dP,Mock
1900,1.06,dP,Mock
1901,1.11,dP,Mock
1902,0.87,dP,Mock
1903,0.92,dP,Mock
1904,1.1,dP,Mock
1905,0.75,dP,Mock
1906,0.75,dP,Mock
1907,1.03,dP,Mock
1908,1.55,dP,Mock
1909,0.7,dP,Mock
1910,1.36,dP,Mock
1911,1.16,dP,Mock
1912,1.03,dP,Mock
1913,1.04,dP,Mock
1914,0.82,dP,Mock
1915,1.02,dP,Mock
1916,0.88,dP,Mock
1917,0.87,dP,Mock
1918,0.91,dP,Mock
1919,1.13,dP,Mock
1920,1.23,dP,Mock
1921,1.08,dP,Mock
1922,0.89,dP,Mock
1923,0.64,dP,Mock
1924,0.93,dP,Mock
1925,0.7,dP,Mock
1926,0.85,dP,Mock
1927,0.7,dP,Mock
1928,1.07,dP,Mock
1929,1.3,dP,Mock
1930,0.98,dP,Mock
1931,1.28,dP,Mock
1932,1.01,dP,Mock
1933,1.29,dP,Mock
1934,1.14,dP,Mock
1935,1.16,dP,Mock
1936,0.98,dP,Mock
1937,1.01,dP,Mock
1938,0.94,dP,Mock
1939,1.51,dP,Mock
1940,1.06,dP,Mock
1941,0.88,dP,Mock
1942,0.91,dP,Mock
1943,1.26,dP,Mock
1944,1.34,dP,Mock
1945,0.67,dP,Mock
1946,1.42,dP,Mock
1947,0.92,dP,Mock
1948,1,dP,Mock
1949,0.94,dP,Mock
1950,0.94,dP,Mock
1951,0.8,dP,Mock
1952,0.94,dP,Mock
1953,1.09,dP,Mock
1954,1,dP,Mock
1955,1.14,dP,Mock
1956,0.59,dP,Mock
1957,0.95,dP,Mock
1958,0.89,dP,Mock
1959,0.92,dP,Mock
1960,0.94,dP,Mock
1961,1.15,dP,Mock
1962,0.95,dP,Mock
1963,0.81,dP,Mock
1964,0.83,dP,Mock
1965,0.76,dP,Mock
1966,1.12,dP,Mock
1967,0.6,dP,Mock
1968,1.55,dP,Mock
1969,0.85,dP,Mock
1970,0.78,dP,Mock
1971,1,dP,Mock
1972,0.82,dP,Mock
1973,0.93,dP,Mock
1974,0.66,dP,Mock
1975,1,dP,Mock
1976,0.97,dP,Mock
1977,0.74,dP,Mock
1978,0.86,dP,Mock
1979,0.72,dP,Mock
1980,0.8,dP,Mock
1981,1.21,dP,Mock
1982,1.02,dP,Mock
1983,0.6,dP,Mock
1984,0.86,dP,Mock
1985,1,dP,Mock
1986,0.51,dP,Mock
1987,1.08,dP,Mock
1988,1.06,dP,Mock
1989,1.05,dP,Mock
1990,1.02,dP,Mock
1991,0.93,dP,Mock
1992,0.96,dP,Mock
1993,0.58,dP,Mock
1994,1.31,dP,Mock
1995,1.04,dP,Mock
1996,1.23,dP,Mock
1997,0.85,dP,Mock
1998,1.21,dP,Mock
1999,0.74,dP,Mock
2000,0.53,dP,Mock
2001,2.78,ga1-13,Mock
2002,2.47,ga1-13,Mock
2003,2.56,ga1-13,Mock
2004,3.13,ga1-13,Mock
2005,2.57,ga1-13,Mock
2006,2.69,ga1-13,Mock
2007,2.56,ga1-13,Mock
2008,2.9,ga1-13,Mock
2009,2.76,ga1-13,Mock
2010,2.49,ga1-13,Mock
2011,2.82,ga1-13,Mock
2012,2.88,ga1-13,Mock
2013,2.77,ga1-13,Mock
2014,2.48,ga1-13,Mock
2015,2.92,ga1-13,Mock
2016,2.49,ga1-13,Mock
2017,2.62,ga1-13,Mock
2018,2.36,ga1-13,Mock
2019,2.6,ga1-13,Mock
2020,2.6,ga1-13,Mock
2021,2.59,ga1-13,Mock
2022,2.57,ga1-13,Mock
2023,2.93,ga1-13,Mock
2024,2.86,ga1-13,Mock
2025,2.57,ga1-13,Mock
2026,2.7,ga1-13,Mock
2027,2.59,ga1-13,Mock
2028,2.63,ga1-13,Mock
2029,2.97,ga1-13,Mock
2030,2.79,ga1-13,Mock
2031,2.85,ga1-13,Mock
2032,2.61,ga1-13,Mock
2033,2.81,ga1-13,Mock
2034,2.62,ga1-13,Mock
2035,2.4,ga1-13,Mock
2036,3.04,ga1-13,Mock
2037,2.64,ga1-13,Mock
2038,2.93,ga1-13,Mock
2039,2.74,ga1-13,Mock
2040,2.54,ga1-13,Mock
2041,3.08,ga1-13,Mock
2042,3.02,ga1-13,Mock
2043,2.87,ga1-13,Mock
2044,2.73,ga1-13,Mock
2045,2.19,ga1-13,Mock
2046,2.92,ga1-13,Mock
2047,2.53,ga1-13,Mock
2048,2.44,ga1-13,Mock
2049,2.88,ga1-13,Mock
2050,2.94,ga1-13,Mock
2051,2.9,ga1-13,Mock
2052,2.64,ga1-13,Mock
2053,2.66,ga1-13,Mock
2054,2.92,ga1-13,Mock
2055,2.66,ga1-13,Mock
2056,2.73,ga1-13,Mock
2057,2.79,ga1-13,Mock
2058,2.48,ga1-13,Mock
2059,2.66,ga1-13,Mock
2060,2.96,ga1-13,Mock
2061,2.63,ga1-13,Mock
2062,2.81,ga1-13,Mock
2063,2.68,ga1-13,Mock
2064,2.8,ga1-13,Mock
2065,2.68,ga1-13,Mock
2066,2.41,ga1-13,Mock
2067,2.65,ga1-13,Mock
2068,2.56,ga1-13,Mock
2069,2.86,ga1-13,Mock
2070,2.54,ga1-13,Mock
2071,2.75,ga1-13,Mock
2072,2.96,ga1-13,Mock
2073,2.62,ga1-13,Mock
2074,2.45,ga1-13,Mock
2075,2.81,ga1-13,Mock
2076,2.91,ga1-13,Mock
2077,2.5,ga1-13,Mock
2078,2.52,ga1-13,Mock
2079,2.69,ga1-13,Mock
2080,2.85,ga1-13,Mock
2081,2.81,ga1-13,Mock
2082,2.95,ga1-13,Mock
2083,2.42,ga1-13,Mock
2084,2.63,ga1-13,Mock
2085,2.73,ga1-13,Mock
2086,2.68,ga1-13,Mock
2087,2.48,ga1-13,Mock
2088,2.71,ga1-13,Mock
2089,2.72,ga1-13,Mock
2090,2.66,ga1-13,Mock
2091,2.83,ga1-13,Mock
2092,3.03,ga1-13,Mock
2093,2.78,ga1-13,Mock
2094,2.86,ga1-13,Mock
2095,2.85,ga1-13,Mock
2096,2.81,ga1-13,Mock
2097,2.37,ga1-13,Mock
2098,2.75,ga1-13,Mock
2099,2.8,ga1-13,Mock
2100,2.5,ga1-13,Mock
2101,2.99,ga1-13,Mock
2102,2.7,ga1-13,Mock
2103,2.73,ga1-13,Mock
2104,2.67,ga1-13,Mock
2105,2.81,ga1-13,Mock
2106,2.8,ga1-13,Mock
2107,2.62,ga1-13,Mock
2108,2.77,ga1-13,Mock
2109,2.86,ga1-13,Mock
2110,2.4,ga1-13,Mock
2111,2.6,ga1-13,Mock
2112,2.53,ga1-13,Mock
2113,2.84,ga1-13,Mock
2114,2.64,ga1-13,Mock
2115,2.76,ga1-13,Mock
2116,2.58,ga1-13,Mock
2117,2.91,ga1-13,Mock
2118,2.74,ga1-13,Mock
2119,2.78,ga1-13,Mock
2120,2.75,ga1-13,Mock
2121,2.87,ga1-13,Mock
2122,2.45,ga1-13,Mock
2123,2.92,ga1-13,Mock
2124,2.95,ga1-13,Mock
2125,2.82,ga1-13,Mock
2126,2.49,ga1-13,Mock
2127,2.87,ga1-13,Mock
2128,2.21,ga1-13,Mock
2129,2.82,ga1-13,Mock
2130,2.89,ga1-13,Mock
2131,2.79,ga1-13,Mock
2132,2.65,ga1-13,Mock
2133,2.29,ga1-13,Mock
2134,2.56,ga1-13,Mock
2135,3.03,ga1-13,Mock
2136,2.83,ga1-13,Mock
2137,2.66,ga1-13,Mock
2138,2.34,ga1-13,Mock
2139,2.74,ga1-13,Mock
2140,2.73,ga1-13,Mock
2141,2.85,ga1-13,Mock
2142,2.73,ga1-13,Mock
2143,2.69,ga1-13,Mock
2144,2.63,ga1-13,Mock
2145,2.39,ga1-13,Mock
2146,2.67,ga1-13,Mock
2147,3.12,ga1-13,Mock
2148,2.82,ga1-13,Mock
2149,2.41,ga1-13,Mock
2150,2.8,ga1-13,Mock
2151,2.99,ga1-13,Mock
2152,2.6,ga1-13,Mock
2153,2.75,ga1-13,Mock
2154,2.66,ga1-13,Mock
2155,2.81,ga1-13,Mock
2156,2.9,ga1-13,Mock
2157,2.95,ga1-13,Mock
2158,2.62,ga1-13,Mock
2159,2.63,ga1-13,Mock
2160,2.79,ga1-13,Mock
2161,2.71,ga1-13,Mock
2162,2.58,ga1-13,Mock
2163,3.01,ga1-13,Mock
2164,2.74,ga1-13,Mock
2165,3.09,ga1-13,Mock
2166,2.53,ga1-13,Mock
2167,2.73,ga1-13,Mock
2168,2.59,ga1-13,Mock
2169,2.97,ga1-13,Mock
2170,2.4,ga1-13,Mock
2171,2.73,ga1-13,Mock
2172,2.61,ga1-13,Mock
2173,2.49,ga1-13,Mock
2174,2.34,ga1-13,Mock
2175,2.72,ga1-13,Mock
2176,2.49,ga1-13,Mock
2177,2.41,ga1-13,Mock
2178,2.56,ga1-13,Mock
2179,2.91,ga1-13,Mock
2180,3.04,ga1-13,Mock
2181,2.55,ga1-13,Mock
2182,2.78,ga1-13,Mock
2183,2.73,ga1-13,Mock
2184,2.97,ga1-13,Mock
2185,2.57,ga1-13,Mock
2186,2.87,ga1-13,Mock
2187,2.92,ga1-13,Mock
2188,2.91,ga1-13,Mock
2189,2.69,ga1-13,Mock
2190,2.76,ga1-13,Mock
2191,2.57,ga1-13,Mock
2192,2.96,ga1-13,Mock
2193,2.78,ga1-13,Mock
2194,2.88,ga1-13,Mock
2195,2.98,ga1-13,Mock
2196,2.93,ga1-13,Mock
2197,3.05,ga1-13,Mock
2198,2.99,ga1-13,Mock
2199,2.64,ga1-13,Mock
2200,2.67,ga1-13,Mock
2201,2.89,ga1-13,Mock
2202,2.36,ga1-13,Mock
2203,2.61,ga1-13,Mock
2204,2.78,ga1-13,Mock
2205,2.64,ga1-13,Mock
2206,2.57,ga1-13,Mock
2207,2.74,ga1-13,Mock
2208,2.43,ga1-13,Mock
2209,2.84,ga1-13,Mock
2210,2.4,ga1-13,Mock
2211,2.76,ga1-13,Mock
2212,2.75,ga1-13,Mock
2213,2.75,ga1-13,Mock
2214,2.82,ga1-13,Mock
2215,2.53,ga1-13,Mock
2216,2.8,ga1-13,Mock
2217,2.59,ga1-13,Mock
2218,2.52,ga1-13,Mock
2219,2.92,ga1-13,Mock
2220,2.72,ga1-13,Mock
2221,2.6,ga1-13,Mock
2222,2.85,ga1-13,Mock
2223,2.47,ga1-13,Mock
2224,2.59,ga1-13,Mock
2225,2.63,ga1-13,Mock
2226,2.78,ga1-13,Mock
2227,2.8,ga1-13,Mock
2228,2.39,ga1-13,Mock
2229,2.74,ga1-13,Mock
2230,2.7,ga1-13,Mock
2231,2.62,ga1-13,Mock
2232,2.3,ga1-13,Mock
2233,2.55,ga1-13,Mock
2234,2.98,ga1-13,Mock
2235,2.62,ga1-13,Mock
2236,2.67,ga1-13,Mock
2237,2.34,ga1-13,Mock
2238,2.88,ga1-13,Mock
2239,2.63,ga1-13,Mock
2240,2.97,ga1-13,Mock
2241,2.44,ga1-13,Mock
2242,2.87,ga1-13,Mock
2243,2.92,ga1-13,Mock
2244,2.59,ga1-13,Mock
2245,2.71,ga1-13,Mock
2246,2.72,ga1-13,Mock
2247,2.33,ga1-13,Mock
2248,2.68,ga1-13,Mock
2249,2.74,ga1-13,Mock
2250,2.57,ga1-13,Mock
2251,2.45,ga1-13,Mock
2252,2.9,ga1-13,Mock
2253,2.85,ga1-13,Mock
2254,2.5,ga1-13,Mock
2255,2.52,ga1-13,Mock
2256,2.97,ga1-13,Mock
2257,2.96,ga1-13,Mock
2258,2.77,ga1-13,Mock
2259,2.96,ga1-13,Mock
2260,2.44,ga1-13,Mock
2261,2.78,ga1-13,Mock
2262,2.81,ga1-13,Mock
2263,2.45,ga1-13,Mock
2264,2.78,ga1-13,Mock
2265,2.52,ga1-13,Mock
2266,2.38,ga1-13,Mock
2267,2.77,ga1-13,Mock
2268,3.07,ga1-13,Mock
2269,2.91,ga1-13,Mock
2270,2.39,ga1-13,Mock
2271,2.51,ga1-13,Mock
2272,2.84,ga1-13,Mock
2273,2.66,ga1-13,Mock
2274,2.65,ga1-13,Mock
2275,3.02,ga1-13,Mock
2276,2.9,ga1-13,Mock
2277,2.86,ga1-13,Mock
2278,2.27,ga1-13,Mock
2279,2.5,ga1-13,Mock
2280,3.09,ga1-13,Mock
2281,2.55,ga1-13,Mock
2282,2.7,ga1-13,Mock
2283,2.66,ga1-13,Mock
2284,2.95,ga1-13,Mock
2285,3.08,ga1-13,Mock
2286,2.72,ga1-13,Mock
2287,2.53,ga1-13,Mock
2288,2.52,ga1-13,Mock
2289,2.97,ga1-13,Mock
2290,2.73,ga1-13,Mock
2291,2.46,ga1-13,Mock
2292,2.57,ga1-13,Mock
2293,2.64,ga1-13,Mock
2294,2.58,ga1-13,Mock
2295,2.61,ga1-13,Mock
2296,2.51,ga1-13,Mock
2297,3,ga1-13,Mock
2298,2.66,ga1-13,Mock
2299,2.86,ga1-13,Mock
2300,2.46,ga1-13,Mock
2301,3.11,ga1-13,Mock
2302,2.21,ga1-13,Mock
2303,2.56,ga1-13,Mock
2304,2.6,ga1-13,Mock
2305,2.65,ga1-13,Mock
2306,2.59,ga1-13,Mock
2307,2.49,ga1-13,Mock
2308,2.86,ga1-13,Mock
2309,2.32,ga1-13,Mock
2310,2.35,ga1-13,Mock
2311,2.47,ga1-13,Mock
2312,2.75,ga1-13,Mock
2313,2.67,ga1-13,Mock
2314,2.95,ga1-13,Mock
2315,3.08,ga1-13,Mock
2316,2.45,ga1-13,Mock
2317,2.43,ga1-13,Mock
2318,2.72,ga1-13,Mock
2319,2.75,ga1-13,Mock
2320,2.73,ga1-13,Mock
2321,2.53,ga1-13,Mock
2322,2.6,ga1-13,Mock
2323,2.59,ga1-13,Mock
2324,2.92,ga1-13,Mock
2325,2.86,ga1-13,Mock
2326,2.55,ga1-13,Mock
2327,2.63,ga1-13,Mock
2328,2.88,ga1-13,Mock
2329,2.68,ga1-13,Mock
2330,2.93,ga1-13,Mock
2331,2.62,ga1-13,Mock
2332,2.65,ga1-13,Mock
2333,2.86,ga1-13,Mock
2334,2.68,ga1-13,Mock
2335,2.85,ga1-13,Mock
2336,2.62,ga1-13,Mock
2337,2.71,ga1-13,Mock
2338,2.87,ga1-13,Mock
2339,2.5,ga1-13,Mock
2340,2.52,ga1-13,Mock
2341,3.03,ga1-13,Mock
2342,2.51,ga1-13,Mock
2343,2.75,ga1-13,Mock
2344,2.51,ga1-13,Mock
2345,2.55,ga1-13,Mock
2346,2.66,ga1-13,Mock
2347,2.7,ga1-13,Mock
2348,2.48,ga1-13,Mock
2349,2.66,ga1-13,Mock
2350,2.59,ga1-13,Mock
2351,2.4,ga1-13,Mock
2352,2.72,ga1-13,Mock
2353,2.89,ga1-13,Mock
2354,2.75,ga1-13,Mock
2355,2.65,ga1-13,Mock
2356,2.82,ga1-13,Mock
2357,2.26,ga1-13,Mock
2358,2.7,ga1-13,Mock
2359,2.83,ga1-13,Mock
2360,2.62,ga1-13,Mock
2361,2.55,ga1-13,Mock
2362,2.96,ga1-13,Mock
2363,2.62,ga1-13,Mock
2364,2.48,ga1-13,Mock
2365,2.86,ga1-13,Mock
2366,2.9,ga1-13,Mock
2367,3.35,ga1-13,Mock
2368,2.64,ga1-13,Mock
2369,2.64,ga1-13,Mock
2370,2.88,ga1-13,Mock
2371,3.04,ga1-13,Mock
2372,2.53,ga1-13,Mock
2373,2.84,ga1-13,Mock
2374,2.48,ga1-13,Mock
2375,2.58,ga1-13,Mock
2376,3.17,ga1-13,Mock
2377,2.58,ga1-13,Mock
2378,2.69,ga1-13,Mock
2379,2.61,ga1-13,Mock
2380,2.97,ga1-13,Mock
2381,2.86,ga1-13,Mock
2382,2.51,ga1-13,Mock
2383,3.14,ga1-13,Mock
2384,2.34,ga1-13,Mock
2385,2.7,ga1-13,Mock
2386,2.34,ga1-13,Mock
2387,2.87,ga1-13,Mock
2388,2.76,ga1-13,Mock
2389,2.62,ga1-13,Mock
2390,2.45,ga1-13,Mock
2391,2.81,ga1-13,Mock
2392,2.78,ga1-13,Mock
2393,2.84,ga1-13,Mock
2394,2.33,ga1-13,Mock
2395,2.68,ga1-13,Mock
2396,2.73,ga1-13,Mock
2397,2.48,ga1-13,Mock
2398,2.97,ga1-13,Mock
2399,2.48,ga1-13,Mock
2400,2.46,ga1-13,Mock
2401,2.62,ga1-13,Mock
2402,2.76,ga1-13,Mock
2403,2.78,ga1-13,Mock
2404,2.83,ga1-13,Mock
2405,2.64,ga1-13,Mock
2406,2.64,ga1-13,Mock
2407,2.71,ga1-13,Mock
2408,2.73,ga1-13,Mock
2409,2.78,ga1-13,Mock
2410,2.61,ga1-13,Mock
2411,2.75,ga1-13,Mock
2412,2.85,ga1-13,Mock
2413,2.67,ga1-13,Mock
2414,2.89,ga1-13,Mock
2415,2.58,ga1-13,Mock
2416,2.49,ga1-13,Mock
2417,2.66,ga1-13,Mock
2418,2.81,ga1-13,Mock
2419,2.55,ga1-13,Mock
2420,2.72,ga1-13,Mock
2421,2.67,ga1-13,Mock
2422,2.6,ga1-13,Mock
2423,2.86,ga1-13,Mock
2424,2.67,ga1-13,Mock
2425,2.68,ga1-13,Mock
2426,2.41,ga1-13,Mock
2427,2.75,ga1-13,Mock
2428,2.9,ga1-13,Mock
2429,2.57,ga1-13,Mock
2430,2.62,ga1-13,Mock
2431,2.49,ga1-13,Mock
2432,2.61,ga1-13,Mock
2433,2.67,ga1-13,Mock
2434,2.76,ga1-13,Mock
2435,2.9,ga1-13,Mock
2436,2.39,ga1-13,Mock
2437,2.79,ga1-13,Mock
2438,2.63,ga1-13,Mock
2439,2.75,ga1-13,Mock
2440,2.8,ga1-13,Mock
2441,2.92,ga1-13,Mock
2442,2.69,ga1-13,Mock
2443,2.79,ga1-13,Mock
2444,2.62,ga1-13,Mock
2445,2.66,ga1-13,Mock
2446,2.46,ga1-13,Mock
2447,2.89,ga1-13,Mock
2448,2.61,ga1-13,Mock
2449,2.85,ga1-13,Mock
2450,2.55,ga1-13,Mock
2451,3.26,ga1-13,Mock
2452,2.87,ga1-13,Mock
2453,2.71,ga1-13,Mock
2454,2.58,ga1-13,Mock
2455,2.83,ga1-13,Mock
2456,2.76,ga1-13,Mock
2457,2.93,ga1-13,Mock
2458,2.79,ga1-13,Mock
2459,2.69,ga1-13,Mock
2460,2.67,ga1-13,Mock
2461,2.41,ga1-13,Mock
2462,2.88,ga1-13,Mock
2463,2.42,ga1-13,Mock
2464,2.94,ga1-13,Mock
2465,2.84,ga1-13,Mock
2466,2.75,ga1-13,Mock
2467,2.36,ga1-13,Mock
2468,2.37,ga1-13,Mock
2469,2.73,ga1-13,Mock
2470,2.93,ga1-13,Mock
2471,2.79,ga1-13,Mock
2472,2.79,ga1-13,Mock
2473,2.78,ga1-13,Mock
2474,2.63,ga1-13,Mock
2475,2.47,ga1-13,Mock
2476,2.68,ga1-13,Mock
2477,2.81,ga1-13,Mock
2478,2.84,ga1-13,Mock
2479,3.14,ga1-13,Mock
2480,2.71,ga1-13,Mock
2481,2.85,ga1-13,Mock
2482,2.8,ga1-13,Mock
2483,2.69,ga1-13,Mock
2484,2.48,ga1-13,Mock
2485,2.33,ga1-13,Mock
2486,2.94,ga1-13,Mock
2487,2.9,ga1-13,Mock
2488,2.84,ga1-13,Mock
2489,2.64,ga1-13,Mock
2490,2.73,ga1-13,Mock
2491,3.09,ga1-13,Mock
2492,2.78,ga1-13,Mock
2493,2.92,ga1-13,Mock
2494,2.37,ga1-13,Mock
2495,2.75,ga1-13,Mock
2496,2.52,ga1-13,Mock
2497,2.82,ga1-13,Mock
2498,2.31,ga1-13,Mock
2499,2.66,ga1-13,Mock
2500,2.76,ga1-13,Mock
2501,1.67,ga1-13,GA
2502,3.26,ga1-13,GA
2503,1.81,ga1-13,GA
2504,2.46,ga1-13,GA
2505,2.59,ga1-13,GA
2506,2.59,ga1-13,GA
2507,2.5,ga1-13,GA
2508,2.03,ga1-13,GA
2509,2.78,ga1-13,GA
2510,2.06,ga1-13,GA
2511,2.31,ga1-13,GA
2512,2.29,ga1-13,GA
2513,1.41,ga1-13,GA
2514,1.38,ga1-13,GA
2515,3.52,ga1-13,GA
2516,2.47,ga1-13,GA
2517,2.79,ga1-13,GA
2518,2.92,ga1-13,GA
2519,2.75,ga1-13,GA
2520,1.93,ga1-13,GA
2521,1.03,ga1-13,GA
2522,2.98,ga1-13,GA
2523,2.8,ga1-13,GA
2524,3.29,ga1-13,GA
2525,2.52,ga1-13,GA
2526,2.12,ga1-13,GA
2527,1.84,ga1-13,GA
2528,1.88,ga1-13,GA
2529,1.9,ga1-13,GA
2530,2.92,ga1-13,GA
2531,2.84,ga1-13,GA
2532,1.96,ga1-13,GA
2533,2.77,ga1-13,GA
2534,2.22,ga1-13,GA
2535,2.56,ga1-13,GA
2536,2.52,ga1-13,GA
2537,2.87,ga1-13,GA
2538,2.95,ga1-13,GA
2539,2.97,ga1-13,GA
2540,3.38,ga1-13,GA
2541,3.27,ga1-13,GA
2542,1.12,ga1-13,GA
2543,2.36,ga1-13,GA
2544,2.33,ga1-13,GA
2545,2.1,ga1-13,GA
2546,1.97,ga1-13,GA
2547,1.15,ga1-13,GA
2548,2.96,ga1-13,GA
2549,2.87,ga1-13,GA
2550,2.34,ga1-13,GA
