ID,SL_C21h0_1,SL_C21h0_2,SL_C21h0_3,SL_T21h2_1,SL_T21h2_2,SL_T21h2_3,SL_GAT21h2_1,SL_GAT21h2_2,SL_GAT21h2_3,SL_GAT21h4_1,SL_GAT21h4_2,SL_GAT21h4_3
Gene30,4.656731286,4.817295673,4.625629968,4.716901411,4.722374452,4.773975381,4.66617676,4.786289641,4.999372394,4.719134714,4.689479656,4.731330762
Gene31,4.667011412,4.682378249,4.651760446,4.806084968,4.630345871,4.732681312,4.663431857,4.729634703,4.736359782,4.665064539,4.578117008,4.841424336
Gene32,4.784492387,4.747400974,4.765879661,4.691985134,4.729661811,4.718273597,4.786141025,4.666892163,5.008544057,4.654038574,4.727138092,4.650650915
Gene33,4.78819551,4.799712877,4.672694353,4.683621346,4.899385615,4.705910581,4.916238275,4.652549467,5.320205724,4.830553356,4.781422507,4.895064289
Gene34,4.825347308,4.972087285,4.932751267,5.008185578,5.075406307,4.917236669,5.124439767,4.884380441,5.256931486,4.867241046,4.90098363,4.918793996
Gene35,4.83735647,4.782145137,4.768072728,4.740836808,4.692701447,4.784334232,4.941913929,4.747083346,4.881268064,4.569484702,4.769488341,4.668323174
Gene36,4.964399006,4.972913215,5.007738844,5.125088047,5.117732062,5.204812376,4.927530145,4.987542418,5.073764802,5.31095705,5.203502783,5.270471063
Gene37,4.996911228,5.15070022,5.035284572,5.20903823,5.184530851,4.976916881,5.066015163,5.111319426,5.296121298,4.851463545,4.935082474,4.940104809
Gene38,5.007817496,5.000221891,5.247239642,4.928317724,5.05601333,5.002669174,5.092501272,5.057689289,5.588904407,4.971638811,5.052754835,4.976472139
Gene39,5.008698056,4.94042563,4.866820241,4.92670491,4.829666016,5.000865059,4.785583955,4.797976878,5.072790331,4.911306346,4.910320201,4.953256308
Gene40,5.013388232,5.2320957,5.096018396,5.415192005,5.424158286,5.315659885,5.396869849,5.11835791,5.277391908,5.139632898,5.309564273,5.029460286
Gene41,5.045570953,4.994763946,4.880649433,5.019626681,5.24971694,4.983130635,5.294712213,5.2734651,5.288890655,5.2653719,5.272361343,5.298283839
Gene42,5.081756668,5.043402971,5.191123365,5.154091893,5.071073252,5.090980915,5.120147636,5.130721092,5.389402355,4.994345453,4.992126605,5.022575309
